id,nombre,bodega,varietal,descripcion,precio_unitario,precio_caja,botellas_caja,imagen_url,categoria,activo
27,Gran Enemigo Corte,Aleanna,Cabernet Franc,"GRAN ENEMIGO RED BLEND 95 pts. Robert Parker Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Dos mentes inquisidoras: Adrianna Catena, historiadora y cuarta generacion de la antigua tradicion vitivinicola Catena; y Alejandro Vigil, reconocido enologo y agronomo de la provincia de Mendoza hay unido su esfuerzo y entusiasmo para producir este vino buscando crear algo diferente, único. Adrianna Catena & Alejandro Vigil ¨Al probar tres añadas, veo una gran regularidad en el Gran Enemigo mezclado. El Gran Enemigo 2020 se produjo con 50% Malbec, 25% Cabernet Franc, 10% Cabernet Sauvignon, 10% Merlot y 5% Petit Verdot de Gualtallary, volviendo al coupage habitual. El vino se muestra excepcionalmente bien, ya que algunos vinos pueden mostrarse un poco maduros y a veces fatigados en este año más cálido, pero este es fresco y vivaz, expresivo y con un paladar sólido, con moderación, equilibrio y sin excesos. La textura es aterciopelada gracias a los taninos muy finos y hay fruta jugosa sin concesiones al dulzor. Tiene parámetros similares a las otras añadas que probé junto a él, con 13,5% de alcohol y un pH de 3,4. Esto es todavía muy joven. En julio de 2021 se llenaron 24.000 botellas.¨ Luis Gutierrez Bodega: Aleanna - Catena Zapata Region: Gualtallary, Valle de Uco, Mendoza Composicion Varietal: 40% Malbec - 25% Cabernet Franc - 25% Cabernet Sauvignon - 5% Merlot - 5% Petit Verdot Crianza: 18 meses en foudres de roble frances de 2000 y 4000 litros Enologo: Alejandro Vigil Potencial de Guarda: 2023 - 2032 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 95 pts. Temperatura de Servicio: 16 grados",36660,208962,6,/imagenes/gran-enemigo-el-cepillo-da069cfff251af08c417577088130871.jpg,,TRUE
28,Gran Enemigo Gualtallary,Aleanna,Cabernet Franc,"Al final del camino solo recuerdas una batalla, la que libraste contigo mismo, el verdadero enemigo; la que te hizo único. Dos mentes inquisidoras: Adrianna Catena, historiadora y cuarta generacion de la antigua tradicion vitivinicola Catena; y Alejandro Vigil, reconocido enologo y agronomo de la provincia de Mendoza hay unido su esfuerzo y entusiasmo para producir este vino buscando crear algo diferente, unico. Adrianna Catena & Alejandro Vigil Bodega: Aleanna (Alejandro Vigil & Adrianna Catena) Region: Gualtallary, Valle de Uco, Mendoza Composicion Varietal: 85% Cabernet Franc - 15% Malbec Crianza: 12 meses en foudres de roble Enologo: Alejandro Vigil Potencial de Guarda: 2023 - 2034 Graduacion Alcoholica: 13,5% Puntaje Robert Parker: 100 pts. Puntaje James Suckling: 100 pts. Temperatura de Servicio: 16 a 18 grados",40950,245700,6,/imagenes/gran-enem-gualtallary-fc9b07dda6ce2adeec17577089987956.jpg,,TRUE
29,Malbec Argentino,Catena Zapata,Malbec,"Malbec Argentino Malbec: Malbec de estilo intenso, con fruta roja y negra madura, taninos amables y buen volumen en boca. Ideal para asados, carnes rojas y quesos semicurados. Servir a 16-18 °C.",54600,207480,4,/imagenes/malbec-1914-b5f06a0a8148c82f9b17612523378573.jpg,,TRUE
30,Nicasia,Catena Zapata,Cabernet Franc,"Nicasia Cabernet Franc Origen y viñedo: Este varietal proviene de los prestigiosos viñedos de Nicasia, ubicados en los Valles Calchaquíes, una región reconocida por su altitud y condiciones ideales para la viticultura en Argentina. Características del vino: El Nicasia Cabernet Franc destaca por su color intenso y brillante. En nariz, ofrece aromas complejos con notas a frutas rojas maduras y un delicado toque especiado. En boca es fresco, con taninos suaves y una acidez equilibrada que aporta frescura y elegancia. Vinificación: Las uvas son cosechadas a mano y fermentadas en tanques de acero inoxidable a temperatura controlada para preservar sus características varietales. La maceración cuidadosa permite extraer lo mejor del Cabernet Franc, garantizando un vino de alta calidad. Recomendaciones de consumo: Ideal para acompañar carnes rojas, quesos maduros y platos con salsas intensas. Se sugiere servir entre 16 y 18 °C para disfrutar plenamente su perfil aromático y sabor. Descubra la autenticidad y el carácter del Nicasia Cabernet Franc, un vino que refleja la riqueza del terroir argentino con sofisticación y frescura.",6617,39702,6,/imagenes/nicasia-cf-b95eb7cfc565b2238117606621953756.jpg,,TRUE
31,Nicasia,Catena Zapata,Malbec,"Nicasia Malbec es un vino que refleja la riqueza y autenticidad de los mejores terroirs argentinos. Elaborado 100% con uvas Malbec, esta variedad emblemática se cultiva en viñedos seleccionados, donde la altitud y el clima favorecen la concentración de aromas y sabores intensos. La vinificación de Nicasia Malbec se realiza con técnicas que respetan la esencia de la uva, permitiendo una fermentación controlada que garantiza un equilibrio perfecto entre frescura y estructura. Su perfil organoléptico ofrece un color rojo profundo, aromas a frutas rojas maduras y toques especiados que se expresan con elegancia. En boca, sorprende por su suavidad y taninos redondos, combinados con una acidez equilibrada que invita a disfrutarlo joven o en su punto justo de guarda. Ideal para acompañar platos de carnes rojas, quesos semiduros y pastas con salsas intensas. Descubrí Nicasia Malbec, un vino que representa la tradición vitivinícola argentina con calidad y carácter distintivo.",6617,39702,6,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
32,Nicasia,Catena Zapata,Blend de Blancas,"Nicasia Blend de Blancas es un vino blanco que refleja la riqueza y diversidad de los Valles Calchaquíes en Salta, Argentina. Este blend exclusivo combina variedades blancas seleccionadas, cultivadas en la finca Nicasia, ubicada a gran altitud, lo que aporta frescura y complejidad a cada copa. El cuidado en la vendimia es artesanal, con cosecha manual en las primeras horas del día para preservar las características aromáticas. La vinificación se realiza con fermentación a temperatura controlada, garantizando un equilibrio perfecto entre acidez y expresión frutal. En nariz, se destacan notas florales y frutales que invitan a una experiencia sensorial fresca y vibrante. En boca, su acidez refrescante y cuerpo liviano lo hacen ideal para disfrutar joven, acompañado de mariscos, pescados o aperitivos. Descubrí en Nicasia Blend de Blancas un vino argentino de alta calidad que representa la elegancia y autenticidad de nuestra tierra.",6617,39702,6,/imagenes/group-6-1-50465cc7f4f50c754717597198368674.jpg,,TRUE
33,Nicasia,Catena Zapata,Grand Blend,"Nicasia Grand Blend es una expresión destacada de la tradición vitivinícola argentina, elaborada con un cuidadoso ensamblaje de variedades seleccionadas que reflejan la riqueza de los Valles Calchaquíes. Proveniente de la finca Nicasia, ubicada a más de 2.000 metros sobre el nivel del mar, este blend se beneficia de un clima único y suelos privilegiados que aportan complejidad y carácter. Su proceso de elaboración incluye una fermentación controlada para preservar los aromas y la frescura de cada cepa. La crianza en barricas de roble francés durante 12 meses aporta notas elegantes y estructura al vino. En vista, presenta un color intenso y brillante. En nariz, se destacan aromas frutales y especiados que anticipan una experiencia en boca equilibrada, con taninos maduros y un final persistente. Ideal para maridar con carnes rojas y platos de cocina tradicional argentina, Nicasia Grand Blend es un vino para disfrutar en ocasiones especiales y descubrir la esencia del terroir calchaquí.",10959,65754,6,/imagenes/nicasia-grand-blend-de9eb743a5d7bb96a317606621476300.jpg,,TRUE
34,Nicolas Catena Zapata,Catena Zapata,Blend,"Cosecha manual. La fermentación se realiza en pequeñas barricas de roble, cemento y tanques de acero inoxidable. Temperatura de fermentación: 26/28ºC durante 15 días. Maceración total: 18-22 días. Fermentación maloláctica completa. Añejamiento en barricas de roble francés durante 18 meses. De gran concentración y elegancia a la vez, su sabor remite a dulces notas de cassis, frutos negros y ciruelas. Se perciben taninos maduros, finamente integrados y una acidez fresca y balanceada que resalta sus intensos sabores frutales y minerales. Varietal: 78% Cabernet Sauvignon y 22% Malbec. Lugar de Elaboración: Viñedo ""La Pirámide"", Viñedo ""Domingo"", Viñedo ""Adrianna"", y Viñedo ""Nicasia""",60450,362700,6,/imagenes/catena_zapata_nicolas_750-b3b641a47326d3be2d17614177987899.jpg,,TRUE
35,Coincidir,Coincidir,Pinot Noir,"Pinot noir cosechado a mediados de febrero, proveniente de la ruta 89 en Tunuyán. La vinificación se realiza con un 50% de racimo entero, lo que añade profundidad y carácter. En nariz, el Pinot Noir revela una vibrante mezcla de frutas frescas como cereza y frambuesa, acompañada de elegantes notas herbales que enriquecen su perfil. En boca, ofrece una experiencia rica y fresca, con una textura sedada y un final largo. Marca Coincidir Wines Proyecto Coincidir es un proyecto genuino y simple como nosotros mismos, donde cada proceso y detalle son vividos con pasión. Donde el vino se teje en pequeñas partidas, microvinificadas en distintos recipientes, reflejando nuestro respeto por el terroir y la vida misma. Somos la danza delicada de solo fermentar uvas y por sobre todas las cosas somos familia. Winemaker Giuliana Bruno & Leandro Velázquez Tipo Tinto Varietal Pinot Noir Composición Varietal 100% Pinot Noir Cosecha Cosecha manual en cajas de 17kg Zona de Origen Tunuyán Región Valle de Uco Método de cosecha Cosecha manual en cajas de 17kg Vinificación La uva se vinifica dejando 50% de racimo entero. Las uvas son fermentadas en huevos de concreto, realizando sutiles movimientos de remontajes y pisadas Crianza Se conserva en huevos de concreto durante 5 meses Acidez 6,60 g/l",16727,63561,4,/imagenes/coincidir-pinot-0b566022e64ca06b4817614177399704.jpg,,TRUE
36,Lugarcitos,Coincidir,Malbec,"Este Malbec, procedente de Gualtallary, es una muestra destacada de la riqueza y profundidad que ofrece el terroir de la región. Elaborado al 100% con uvas cosechadas manualmente durante la primera semana de marzo, el vino se conserva durante 12 meses en barricas de roble francés, lo que aporta una complejidad. En nariz, el Malbec revela una atractiva mezcla de frutas negras, incluyendo arándanos y frambuesas, complementada por sutiles notas de flora silvestre que añaden una dimensión adicional. En boca, el vino se destaca por su complejidad, ofreciendo un volumen y una textura excepcionales.",25029,95110,4,/imagenes/lugarcitos-malbeec-6209b11a0e18f9c00e17590944701693.jpg,,TRUE
37,Lugarcitos,Coincidir,Cabernet Franc,"Cultivado en San Pablo, Tunuyán, a 1450 msnm, es una expresión sublime del terroir de la región. Elaborado a partir de uvas cosechadas manualmente durante la segunda semana de marzo, el vino se conserva durante 12 meses en barricas de roble francés, lo que le confiere una estructura y elegancia notables. En nariz, el vino revela notas de fruta negra, pimiento rojo y té verde que se entrelazan para crear un perfil aromático distintivo. En boca, se destaca por sus taninos suaves y su textura refinada, ofreciendo una gran complejidad que se desarrolla en cada copa. Marca Coincidir Wines Proyecto Coincidir es un proyecto genuino y simple como nosotros mismos, donde cada proceso y detalle son vividos con pasión. Donde el vino se teje en pequeñas partidas, microvinificadas en distintos recipientes, reflejando nuestro respeto por el terroir y la vida misma. Somos la danza delicada de solo fermentar uvas y por sobre todas las cosas somos familia. Winemaker Giuliana Bruno & Leandro Velázquez Tipo Tinto Varietal Cabernet Franc Composición Varietal 100% Cabernet Franc Zona de Origen San Pablo, Tunuyán Región Valle de Uco Elevación 1450 msnm Método de cosecha Cosecha manual en cajas de 17kg Vinificación Llegada la uva se realiza la seleccion de racimos y descobajado. Las uvas son microvinificadas en pequeñas vasijas, como bines plásticos. Fermentado con levaduras indígenas, se trabaja con movimientos de pisadas para mayor extracción y concentración Crianza Se conserva en roble francés durante 12 meses Acidez 6,10 g/l",25029,95110,4,/imagenes/lugarcitos-cf-bca7400f192e16bc4417614131453658.jpg,,TRUE
38,Flor de Cardon 2022,Los Cardones,Cabernet Sauvignon,"Sejanovich recrea su versión del clásico Cabernet Sauvignon del Valle Calchaquí. Especiado, profundo, con notas a frutos negros y rojos maduros, hierbas y pimentón. Leve tono tostado y fondo de cassis. Ataque amplio, jugoso y envolvente. Buen cuerpo con taninos jugosos y final prolongado. Marca Estancia Cardones Proyecto La familia Saavedra Azcona en sociedad con el ingeniero y enólogo Alejandro Sejanovich son los fundadores de este proyecto que pretende reflejar en sus vinos las características únicas del terroir de Tolombón. La bodega Estancia Los Cardones está situada al sur de Cafayate, a 1.700 metros sobre el nivel del mar, en lo alto de la pendiente oriental de los Valles Calchaquíes. Sus vinos muestran el costado más sutil y elegante del terruño calchaquí: blancos y tintos frescos, con elegancia y tensión y una espléndida textura en boca. Las uvas de los vinos de la linea Flor de Cardón provienen de Tolombón, la zona vitivinícola más septentrional del país. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Cabernet Sauvignon Composición Varietal 100% Cabernet Sauvignon Cosecha Cosechado en febrero Zona de Origen Valle de Calchaquíes Región Salta Elevación 1700 msnm Vinificación Elaborado en tanque de acero troncocónico con 10 días de maceración pelicular en frio. Se realizan remontajes al sombrero una vez por día. Crianza Criado en barricas de 3er uso durante 10 meses",14835,84560,6,/imagenes/flor-de-cardon-69b1ee3534fc874a0c17612557018150.jpg,,TRUE
39,Anko,Los Cardones,Malbec,"La intensidad de insolación potencia los sabores a frutas negras, y las noches frías otorgan aromas florales y especiados, así como el suelo pedregoso producen mayor estructura. ¡Es una expresión única del Malbec! Marca Estancia Cardones Proyecto La familia Saavedra Azcona en sociedad con el ingeniero y enólogo Alejandro Sejanovich son los fundadores de este proyecto que pretende reflejar en sus vinos las características únicas del terroir de Tolombón. La bodega Estancia Los Cardones está situada al sur de Cafayate, a 1.700 metros sobre el nivel del mar, en lo alto de la pendiente oriental de los Valles Calchaquíes. Sus vinos muestran el costado más sutil y elegante del terruño calchaquí: blancos y tintos frescos, con elegancia y tensión y una espléndida textura en boca. La linea Anko representa el oasis en un desierto de montañas escabrosas, el tesoro protegido de los implacables elementos de la naturaleza del norte argentino. ""Anko"" quiere decir “Agua en altura” en la lengua nativa de los aborígenes de Salta. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Malbec Composición Varietal 100% Malbec Zona de Origen Tolombón Región Salta Elevación 1600 msnm Vinificación Se comienza con un despalillado suave, maceración en frío por 7 días a 10° C. Fermentación con levaduras naturales a un temperatura máximas de 20° C por 13 días. Manejo intensivo del sombrero con muchas remontajes, pillages y delestages en los primeros 8 días con 100% fermentación maloláctica. Crianza Criado 9 meses en barricas de roble frances, 10% nuevo. Temperatura de servicio 16 a 18° C",11538,65769,6,/imagenes/anko_malbec_3f2bcc50-59ce-419d-8d2b-2281313facc7_2048x2048_crop_center2x-jpg-99c54e7d5d190c057217614181348273.jpg,,TRUE
40,Artesano 2020,Manos Negras,Malbec,"Artesano nace en Paraje Altamira de la cofermentación de Malbec, Cabernet Sauvignon, Cabernet Franc y Petit Verdot que como piezas son ensambladas por una mano diestra y una mente que reivindica el detalle. El trabajo artesano que da forma a una idea en busca de la expresión de este lugar único. Marca Manos Negras Proyecto En 2009 Jeff Mausbach y Alejandro Sejanovich decidieron concretar su sueño. Juntos desarrollaron el proyecto Manos Negras, un tributo a los enólogos reales que se ensucian las manos haciendo vinos artesanales con esfuerzo y pasión. Manos Negras es una Bodega que abarca una amplia diversidad de terroirs regionales de Argentina. Ambos buscan viñedos especiales donde cada variedad es capaz de dar lo mejor para lograr vinos puros, con frescor, elegancia y muy buena tipicidad. La línea Artesano rinde homenaje al trabajo artesanal que da forma a la idea de buscar la expresión de lugares únicos. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Blend Composición Varietal Malbec; Cabenet Franc; Cabernet Sauvignon; Petit Verdot Zona de Origen Paraje Altamira Región Valle de Uco Vinificación Maceración pre-fermentativa en frio durante 48 hs, luego fermenta por 10-15 días a temperaturas controladas. Se realiza una maceración post-fermentativa por otras 48 hs. Crianza Roble francés 15% nuevo por 12 meses",11227,63992,6,/imagenes/artesano-malbec-fbb8a56f68609cce1b17612555973683.jpg,,TRUE
41,Artesano 2022,Manos Negras,Pinot Noir,"Este Pinot Noir forma parte de una trilogía que nace en tres lugares diferentes del Valle de Uco. Su origen es el resultado de años de investigación exhaustiva por parte de Alejandro Sejanovich, quien exploró los distintos viñedos de Pinot Noir en Mendoza. Pinot noir de un parral viejo con aromas de cerezas frescas, bosque, tierra húmeda, con un paladar fresco y repleto de sabor. Va expresándose con más complejidad a medida que se oxigena en copa, con una rica textura en boca y largo recuerdo. Marca Manos Negras Proyecto En 2009 Jeff Mausbach y Alejandro Sejanovich decidieron concretar su sueño. Juntos desarrollaron el proyecto Manos Negras, un tributo a los enólogos reales que se ensucian las manos haciendo vinos artesanales con esfuerzo y pasión. Manos Negras es una Bodega que abarca una amplia diversidad de terroirs regionales de Argentina. Ambos buscan viñedos especiales donde cada variedad es capaz de dar lo mejor para lograr vinos puros, con frescor, elegancia y muy buena tipicidad. La línea Artesano rinde homenaje al trabajo artesanal que da forma a la idea de buscar la expresión de lugares únicos. Winemaker Alejandro Sejanovich y Jeff Mausbach Tipo Tinto Varietal Pinot Noir Composición Varietal 100% Pinot Noir Zona de Origen San José Región Valle de Uco Elevación 1.200 msnm Crianza 6 meses en roble francés usado.",14434,82275,6,/imagenes/artesano-pinot-5b5b21c9e27eba58a117612555672051.jpg,,TRUE
42,Teho 2020,Mil Suelos,Semillon,"Originario de Burdeos, el Semillón llegó a nuestro país a mediados del siglo XIX y encontró en Mendoza su terruño ideal. Aunque su cultivo fue abandonado durante mucho tiempo, actualmente hay un proceso de revalorización. Teho suma este Semillón, elaborado con una selección de plantas de suelos limosos-calcáreos de una viña de 70 años en La Consulta. Elegante, voluminoso y expresivo, con notas salinas y recuerdos de frutos secos. Marca Teho Proyecto Teho es un proyecto vitivinícola ubicado en Mendoza, en el que se elaboran dos líneas: Zaha y Teho. Elaboran partidas limitadas que reflejan las características únicas de las dos pequeñas fincas que poseen y de algunos terruños especiales de Valle de Uco. Los vinos representan la búsqueda de la complejidad y el equilibrio, basándose en el concepto de cofermentación: distintas variedades y puntos de cosecha que fermentan juntas, logrando capturar la evolución de aromas, sabores y texturas, óptimas para cada botella. Son todas microvinificaciones de pequeños lotes de uvas que se cosechan y fermentan en conjunto para producir los vinos más complejos e intensos posibles. Winemaker Alejandro Sejanovich Tipo Blanco Varietal Semillón Composición Varietal 100% Semillón Zona de Origen La Consulta selección del área con más presencia de calcáreo en los suelos. Región Valle de Uco Vinificación Prensa de racimos enteros sin agregados. Proceso abierto para incentivar la oxidación de los fenoles del mosto. Limpieza en frio por decantación durante un día, para proceder a la fermentación en barricas de 550 litros con un promedio de 5 años de uso. Crianza 10 meses en barriles, con trabajo de batonage todas las semanas los 2 primeros meses, para luego hacerlo una vez cada 15 días y asi mantener el vino turbio y protegerlo así de las oxidaciones para sustituir la adicion de sulfitos en este momento.",22186,126460,6,/imagenes/teho-semillon-ac0230e18a62f678fd17612556521184.jpg,,TRUE
43,Teho El Corte 2020,Mil Suelos,Blend,"Proviene del viñedo Tomal, con rendimientos extremadamente bajos de vides antiguos que nos regalan un vino complejo y profundo. Malbec de gran concentración, con marcado carácter mineral, frutas negras y un paladar medio, completo y concentrado. El aporte del Cabernet Sauvignon otorga aromas frescos de hierbas y excelente estructura, con toques de cassis, grosella negra y grafito. Marca Teho Proyecto Teho es un proyecto vitivinícola ubicado en Mendoza, en el que se elaboran dos líneas: Zaha y Teho. Elaboran partidas limitadas que reflejan las características únicas de las dos pequeñas fincas que poseen y de algunos terruños especiales de Valle de Uco. Los vinos representan la búsqueda de la complejidad y el equilibrio, basándose en el concepto de cofermentación: distintas variedades y puntos de cosecha que fermentan juntas, logrando capturar la evolución de aromas, sabores y texturas, óptimas para cada botella. Son todas microvinificaciones de pequeños lotes de uvas que se cosechan y fermentan en conjunto para producir los vinos más complejos e intensos posibles. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Blend Composición Varietal 77% Malbec, 23 % Cabernet Franc Zona de Origen La Consulta Región Valle de Uco Elevación 1000 msnm Crianza 12 meses en barricas usadas, con un % de barricas nuevas.",32833,187150,6,/imagenes/teho-el-corte-877f20b21f514a883c17612553067440.jpg,,TRUE
44,Zaha 2020,Mil Suelos,Cabernet Sauvignon,"Zaha Cabernet Sauvignon nace en el viñedo Toko, busca reflejar las características únicas del terroir. La cosecha se realiza en tres etapas: primero se capturan aromas frescos, luego se desarrollan taninos refinados, y finalmente se intensifica la concentración y el peso en boca. El resultado es un vino complejidad aromática y una textura sublime, que representa fielmente el viñedo. Marca Zaha Proyecto Teho es un proyecto vitivinícola ubicado en Mendoza, en el que se elaboran dos líneas: Zaha y Teho. Elaboran partidas limitadas que reflejan las características únicas de las dos pequeñas fincas que poseen y de algunos terruños especiales de Valle de Uco. Los vinos representan la búsqueda de la complejidad y el equilibrio, basándose en el concepto de cofermentación: distintas variedades y puntos de cosecha que fermentan juntas, logrando capturar la evolución de aromas, sabores y texturas, óptimas para cada botella. Son todas microvinificaciones de pequeños lotes de uvas que se cosechan y fermentan en conjunto para producir los vinos más complejos e intensos posibles. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Cabernet Sauvignon Composición Varietal 100% Cabernet Sauvignon Zona de Origen Paraje Altamira Región Valle de Uco Elevación 1050 msnm Crianza 12 meses en barricas de roble francés usadas.",26463,150837,6,/imagenes/zaha-cs-6c06b0d870b17063a917612548755497.jpg,,TRUE
45,Zaha 2020,Mil Suelos,Malbec,"Este Malbec es fruto de cofermentaciones de distintos lotes de la finca, buscando resaltar la diversidad de sus suelos. Comienza con un perfil fresco y floral gracias al suelo arenoso de las cabeceras, mientras que el Cabernet Franc aporta concentración y taninos sedosos. El lote 2, con su estructura calcárea y presencia de piedra blanca, le otorga una nota mineral y elegante, mientras que el lote con predominancia de limo intensifica la fruta negra y la acidez fresca. La cofermentación con Petit Verdot añade estructura y tersura a los taninos. Marca Zaha Proyecto Teho es un proyecto vitivinícola ubicado en Mendoza, en el que se elaboran dos líneas: Zaha y Teho. Elaboran partidas limitadas que reflejan las características únicas de las dos pequeñas fincas que poseen y de algunos terruños especiales de Valle de Uco. Los vinos representan la búsqueda de la complejidad y el equilibrio, basándose en el concepto de cofermentación: distintas variedades y puntos de cosecha que fermentan juntas, logrando capturar la evolución de aromas, sabores y texturas, óptimas para cada botella. Son todas microvinificaciones de pequeños lotes de uvas que se cosechan y fermentan en conjunto para producir los vinos más complejos e intensos posibles. Winemaker Alejandro Sejanovich Tipo Tinto Varietal Malbec Composición Varietal Malbec; Cabernet Franc; Petit Verdot Zona de Origen Altamira Región Valle de Uco Elevación 1057 msnm",26463,150837,6,/imagenes/zaha-malbec-ea0b87fa142ff9b3ca17612547806378.jpg,,TRUE
46,Cuvee Les Calcaries 2023,Mundo Reves,Cabernet Franc,"Cuvee Les Calcaries 2023 Cabernet Franc: Cabernet Franc de estilo intenso, con fruta roja fresca, notas herbales sutiles y tanninos finos. Ideal para carnes blancas, pastas y fiambres. Servir a 16-18 °C.",37503,213767,6,/imagenes/diseno-sin-titulo-2024-04-18t121514-814-56c2c5ff45912ea65217134533453170-1024-1024-1-9a79fcb7db712f2bcf17569504519587.jpg,,TRUE
47,Cuvee Qvevri 2023,Mundo Reves,Naranjo,"Una serie de partidas muy exclusivas, elaboradas con vinificaciones especiales (vinificaciones integrales, skin contact) y añejados varios meses en barricas de segundo uso. Qvevri, en idioma georgiano, hace referencia a las ánforas enterradas en las cuales se vinificaban los vinos en la región caucásica de Georgia en la antigüedad. Mezcla de distintas criollas provenientes de la IG Los Chacayes, vides que fueron plantados en 1969. Marca Mundo Revés Proyecto Mundo Revés es la historia de dos amigos enólogos franceses, Quentin Pommier & Thibault Lepoutre, quienes llegaron a la Argentina buscando nuevas experiencias humanas y vitivinícolas. Juntos buscan terroirs únicos del Valle de Uco, para lograr vinos con un balance extraordinario entre potencia, fruta y elegancia. Los vinos de mundo reves buscan expresar su historia, como una invitación a los viajes interiores, a la exploración de los nuevos mundos, un prisma proyectando la realidad en nuevas dimensiones. Winemaker Quentin Pommier & Thibault Lepoutre Tipo Naranjo Varietal Blend Composición Varietal Pedro Giménez, Torrontés y Criolla Blanca Zona de Origen IG Los Chacayes Región Valle de Uco Método de cosecha Cosechado manualmente los primeros días de marzo. Vinificación Maceración y fermentación espontánea en ánforas. Una vez terminada esta etapa, se prensa y se separa el vino de las pieles. Crianza Se añeja 6 meses en barricas de roble francés de segundo y tercer uso. Sin filtrar.",37503,213767,6,/imagenes/qvevri-b398aceed0012633a217567848401051.jpg,,TRUE
48,Gualtallary 2022,Riccitelli,Cabernet Franc,"Un vino profundamente influenciado por el ambiente que provee la Cordillera de los Andes. Seleccionamos para nuestra etiqueta una especie de cactus que es nativa y encuentra su hogar en altura y condiciones únicas de suelo, al igual que nuestro Malbec, el cual proviene de los suelos calcáreos de Gualtallary. Rojo intenso con reflejos violáceos. Nariz floral con notas de cerezas y guindas. Boca compleja, taninos moderados y sabor intenso. Su frescura lo hace un vino único. Marca Riccitelli Wines Proyecto Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. La linea de ""Gualtallary"" ofrece vinos con una identidad muy marcada, son cepas clásicas cultivadas e influenciadas por una de las zonas más renombradas de la viticultura argentina, Valle de Uco. Winemaker Matías Riccitelli Tipo Tinto Varietal Malbec Composición Varietal 100% Malbec Zona de Origen Gualtallary Región Valle de Uco Elevación 1.400 msnm Método de cosecha Principios de marzo. Se realiza manualmente en pequeñas cajas de 20kg a fin de mantener la integridad de cada racimo. Vinificación Selección manual. Vinificación en pequeñas vasijas de concreto con racimos despalillados, usando levaduras indígenas a temperaturas entre 26º y 28ºC, durante varias semanas. Crianza En barricas de roble francés de diferentes usos hasta la siguiente vendimia. Acidez 5,8 g/l",37868,215845,6,/imagenes/riccitelli-gualtallary-318269fbf7be2e949917612546223393.jpg,,TRUE
49,Riccitelli & Father,Riccitelli,Malbec - Cabernet Franc,"Corte de 50% Malbec plantado en 1927 sobre pie franco en Las Compuertas, sobre suelos franco-arcillosos, y 50% Cabernet Franc proveniente de Los Chacayes, sobre suelos de canto rodado. Con gran intensidad aromática, frutos negros, regaliz, especies y flores. Equilibrado, con taninos firmes pero elegantes. Un vino con carácter que representa muy bien dos generaciones de enólogos que aman lo que hacen. Proyecto Es un proyecto joven y dinámico, en el que Matías quiere expresar todo el potencial de los terroirs argentinos, trabajando con un cuidado constante y estilo personal, elementos esenciales para hacer grandes vinos. Combina la última tecnología, la bondad de nuestros terruños y la impronta de la nueva enología argentina. Riccitelli & Father surge de la elaboración en conjunto entre Matías y su padre, Jorge Riccitelli, buscando potenciar al Malbec de viñedos viejos de zonas tradicionales, con la intensidad que el Cabernet Franc desarrolla en nuestros suelos de montañas. Winemaker: Matías Riccitelli Tipo: Tinto Varietal: Blend Composición Varietal: Malbec 50%, Cabernet Franc 50% Zona de Origen: Gualtallary Región: Valle de Uco Método de cosecha: Primera semana de abril. Se realiza manualmente en pequeñas cajas de 20 kg, a fin de mantener la integridad de cada racimo. Vinificación: Selección manual. Vinificación con 20% de racimos enteros y el resto despalillado, que llegan de forma natural por gravedad a pequeñas cubas de roble francés. La fermentación se lleva a cabo con levaduras indígenas a temperaturas entre 26º y 28ºC. Durante varias semanas, se realiza un trabajo muy suave para hundir el sombrero y lograr una extracción lenta. Crianza: En foudres de roble por 16 meses. Acidez: 6.2 g/l Contenido: 750 ml",86913,495404,6,/imagenes/vinas-estremas-riccitelli-eac4f87268d085d23f17591057316855.jpg,,TRUE
